province,city,group,confirmed,latitude,longitude
Seoul,Eunpyeong-gu,Eunpyeong St. Mary's Hospital,14,37.633691,126.916458
Seoul,Seongdong-gu,Seongdong-gu APT,13,37.557127,127.040338
Seoul,Jongno-gu,Jongno Community Center,10,37.576805,127.005982
Seoul,-,Shincheonji Church,5,-,-
Seoul,-,etc,45,-,-
Busan,Dongnae-gu,Onchun Church,34,35.21628,129.077074
Busan,-,Shincheonji Church,11,-,-
Busan,Suyeong-gu,Suyeong-gu Kindergarten,6,35.167083,129.112354
Busan,Haeundae-gu,Haeundae-gu Catholic Church,6,35.205985,129.125613
Busan,Jin-gu,Jin-gu Academy,4,35.173705,129.063296
Busan,-,Cheongdo Daenam Hospital,1,-,-
Busan,-,etc,27,-,-
Daegu,Nam-gu,Shincheonji Church,4007,35.840075,128.566663
Daegu,-,contact with patient,573,-,-
Daegu,-,Cheongdo Daenam Hospital,2,-,-
Daegu,-,etc,989,-,-
Incheon,-,Shincheonji Church,2,-,-
Incheon,-,contact with patient,2,-,-
Incheon,-,overseas inflow,1,-,-
Incheon,-,etc,4,-,-
Gwangju,-,Shincheonji Church,9,-,-
Gwangju,-,overseas inflow,1,-,-
Gwangju,-,etc,5,-,-
Daejeon,-,contact with patient,8,-,-
Daejeon,-,overseas inflow,2,-,-
Daejeon,-,etc,9,-,-
Ulsan,-,Shincheonji Church,12,-,-
Ulsan,-,etc,12,-,-
Sejong,-,gym,5,36.480247,127.289036
Sejong,-,Shincheonji Church,1,-,-
Sejong,-,etc,0,-,-
Gyeonggi-do,-,Shincheonji Church,23,-,-
Gyeonggi-do,Suwon-si,Suwon Saeng Myeong Saem Church,10,37.237603,127.051681
Gyeonggi-do,Seongnam-si,Bundang Jesaeng Hospital,14,37.388332,127.121758
Gyeonggi-do,-,overseas inflow,6,-,-
Gyeonggi-do,-,etc,34,-,-
Gangwon-do,-,Shincheonji Church,15,-,-
Gangwon-do,-,etc,13,-,-
Chungcheongbuk-do,-,Shincheonji Church,7,-,-
Chungcheongbuk-do,Goesan-gun,Goesan-gun Jangyeon-myeon,10,36.824218,127.955216
Chungcheongbuk-do,-,contact with patient,1,-,-
Chungcheongbuk-do,-,etc,7,-,-
Chungcheongnam-do,Cheonan-si,gym,92,36.815028,127.113861
Chungcheongnam-do,-,etc,10,-,-
Jeollabuk-do,-,contact with patient,2,-,-
Jeollabuk-do,-,Shincheonji Church,1,-,-
Jeollabuk-do,-,overseas inflow,1,-,-
Jeollabuk-do,-,etc,3,-,-
Jeollanam-do,-,Shincheonji Church,1,-,-
Jeollanam-do,-,overseas inflow,1,-,-
Jeollanam-do,-,etc,2,-,-
Gyeongsangbuk-do,-,Shincheonji Church,492,-,-
Gyeongsangbuk-do,Cheongdo-gun,Cheongdo Daenam Hospital,119,35.64887,128.736818
Gyeongsangbuk-do,Bonghwa-gun,Bonghwa Pureun Nursing Home,51,36.927567,128.909942
Gyeongsangbuk-do,-,Pilgrimage to Israel,49,-,-
Gyeongsangbuk-do,Chilgok-gun,Milal Shelter,25,36.058099,128.494094
Gyeongsangbuk-do,Gyeongsan-si,Gyeongsan Jeil Silver Town,17,35.848194,128.762095
Gyeongsangbuk-do,Gyeongsan-si,Gyeongsan Cham Joeun Community Center,14,35.825575,128.737269
Gyeongsangbuk-do,-,etc,309,-,-
Gyeongsangnam-do,-,Shincheonji Church,29,-,-
Gyeongsangnam-do,Geochang-gun,Geochang Church,10,35.685561,127.912735
Gyeongsangnam-do,Changwon-si,Hanmaeum Changwon Hospital,7,35.221146,128.686616
Gyeongsangnam-do,Changnyeong-gun,Changnyeong Coin Karaoke,7,35.541273,128.50077
Gyeongsangnam-do,-,Onchun Church,2,-,-
Jeju-do,-,etc,4,-,-